Vslt 2019-06-10 12:06:21.482000 97310.0 97280.0 2019-06-10 12:15:07.803000 30.0 1605.0
Vslt 2019-06-10 12:06:21.482000 97310.0 97210.0 2019-06-10 12:07:01.767000 100.0 1705.0
Vslt 2019-06-10 12:06:21.482000 97310.0 97280.0 2019-06-10 12:15:07.803000 30.0 1735.0
Vslti 2019-06-10 12:06:21.482000 97310.0 97210.0 2019-06-10 12:07:01.767000 100.0 1835.0
Vslti 2019-06-10 12:06:21.482000 97310.0 97310.0 2019-06-10 12:18:07.769000 0.0 1835.0
Vslf 2019-06-10 12:06:21.482000 97310.0 97210.0 2019-06-10 12:07:01.767000 100.0 1935.0
Vslf 2019-06-10 12:06:21.482000 97310.0 97410.0 2019-06-10 14:56:05.901000 -100.0 1835.0
Vslt 2019-06-10 15:29:20.513000 97695.0 97780.0 2019-06-10 15:30:52.133000 -85.0 1750.0
Vslt 2019-06-10 15:29:20.513000 97695.0 97780.0 2019-06-10 15:30:52.133000 -85.0 1665.0
Vslt 2019-06-10 15:29:20.513000 97695.0 97780.0 2019-06-10 15:30:52.133000 -85.0 1580.0
Vslti 2019-06-10 15:29:20.513000 97695.0 97795.0 2019-06-10 15:30:53.898000 -100.0 1480.0
Vslti 2019-06-10 15:29:20.513000 97695.0 97795.0 2019-06-10 15:30:53.898000 -100.0 1380.0
Vslf 2019-06-10 15:29:20.513000 97695.0 97795.0 2019-06-10 15:30:53.898000 -100.0 1280.0
Vslf 2019-06-10 15:29:20.513000 97695.0 97795.0 2019-06-10 15:30:53.898000 -100.0 1180.0
Cslt 2019-06-10 16:05:11.441000 97690.0 97655.0 2019-06-10 16:12:02.024000 -35.0 1145.0
Cslt 2019-06-10 16:05:11.441000 97690.0 97655.0 2019-06-10 16:12:02.024000 -35.0 1110.0
Cslt 2019-06-10 16:05:11.441000 97690.0 97655.0 2019-06-10 16:12:02.024000 -35.0 1075.0
Cslti 2019-06-10 16:05:11.441000 97690.0 97580.0 2019-06-10 16:24:10.972000 -110.0 965.0
Cslti 2019-06-10 16:05:11.441000 97690.0 97580.0 2019-06-10 16:24:10.972000 -110.0 855.0
Cslf 2019-06-10 16:05:11.441000 97690.0 97580.0 2019-06-10 16:24:10.972000 -110.0 745.0
Cslf 2019-06-10 16:05:11.441000 97690.0 97580.0 2019-06-10 16:24:10.972000 -110.0 635.0
